[2022-06-27 02:47:03 AM-uap_sgd.py-INFO:2022-06-27 02:47:03.027843 | Epoch:  0 | accuracy = 0.803]
[2022-06-27 07:40:19 AM-uap_sgd.py-INFO:2022-06-27 07:40:19.056391 | Epoch: 90 | accuracy = 0.611 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 07:43:32 AM-uap_sgd.py-INFO:2022-06-27 07:43:32.192321 | Epoch: 91 | accuracy = 0.605 | uap: min=-0.15686 max=0.00000 mean=-0.07891]
[2022-06-27 07:46:44 AM-uap_sgd.py-INFO:2022-06-27 07:46:44.941644 | Epoch: 92 | accuracy = 0.618 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 07:50:01 AM-uap_sgd.py-INFO:2022-06-27 07:50:01.928152 | Epoch: 93 | accuracy = 0.6055 | uap: min=-0.15686 max=0.00000 mean=-0.07888]
[2022-06-27 07:53:14 AM-uap_sgd.py-INFO:2022-06-27 07:53:14.763676 | Epoch: 94 | accuracy = 0.608 | uap: min=-0.15686 max=0.00000 mean=-0.07864]
[2022-06-27 07:56:28 AM-uap_sgd.py-INFO:2022-06-27 07:56:28.402714 | Epoch: 95 | accuracy = 0.6175 | uap: min=-0.15686 max=0.00000 mean=-0.07881]
[2022-06-27 07:59:42 AM-uap_sgd.py-INFO:2022-06-27 07:59:42.737750 | Epoch: 96 | accuracy = 0.6165 | uap: min=-0.15686 max=0.00000 mean=-0.07857]
[2022-06-27 08:02:59 AM-uap_sgd.py-INFO:2022-06-27 08:02:59.007459 | Epoch: 97 | accuracy = 0.5845 | uap: min=-0.15686 max=0.00000 mean=-0.07855]
[2022-06-27 08:06:03 AM-uap_sgd.py-INFO:2022-06-27 08:06:03.340804 | Epoch: 98 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07866]
[2022-06-27 08:09:15 AM-uap_sgd.py-INFO:2022-06-27 08:09:15.635577 | Epoch: 99 | accuracy = 0.6045 | uap: min=-0.15686 max=0.00000 mean=-0.07894]
[2022-06-27 08:12:27 AM-uap_sgd.py-INFO:2022-06-27 08:12:27.405075 | Epoch: 100 | accuracy = 0.6185 | uap: min=-0.15686 max=0.00000 mean=-0.07915]
[2022-06-27 08:15:45 AM-uap_sgd.py-INFO:2022-06-27 08:15:45.041958 | Epoch: 101 | accuracy = 0.613 | uap: min=-0.15686 max=0.00000 mean=-0.07886]
[2022-06-27 08:18:54 AM-uap_sgd.py-INFO:2022-06-27 08:18:54.306503 | Epoch: 102 | accuracy = 0.6095 | uap: min=-0.15686 max=0.00000 mean=-0.07854]
